,In1,In3,In4,Out1
0,1.0,0.75,0.0,0.75
1,0.75,0.0,0.75,0.75
2,0.5,0.25,0.0,0.5
3,0.5,0.5,0.75,0.5
4,0.5,1.0,0.5,0.5
5,0.0,0.25,0.0,0.0
6,0.25,0.5,0.25,0.5
7,1.0,1.0,0.75,0.75
8,0.75,0.75,0.25,0.5
9,0.0,1.0,0.25,0.5
10,0.5,0.0,0.75,1.0
11,0.5,0.5,0.0,0.25
12,0.0,1.0,0.0,0.0
13,0.25,0.5,0.25,0.5
14,1.0,0.75,0.0,0.5
15,0.0,0.0,0.0,0.25
16,1.0,0.0,0.5,0.5
17,0.75,0.5,0.5,0.25
18,0.0,0.0,0.0,0.0
19,1.0,0.75,0.0,0.25
20,0.0,1.0,0.25,0.75
21,0.0,1.0,1.0,0.5
22,0.0,1.0,1.0,0.75
23,0.0,0.25,0.5,0.5
24,0.5,0.0,1.0,0.5
25,0.5,0.5,0.0,0.25
26,0.5,0.5,0.75,0.5
27,0.5,1.0,1.0,1.0
28,0.0,0.0,0.25,0.25
29,0.25,0.25,0.5,0.25
30,1.0,0.5,0.0,0.5
31,0.0,0.5,0.5,0.5
32,0.5,0.25,1.0,0.5
33,1.0,1.0,0.5,0.5
34,0.25,0.25,0.5,0.25
35,1.0,0.75,0.25,0.5
36,0.75,0.25,0.5,1.0
37,0.5,0.0,0.0,0.5
38,1.0,0.75,0.25,0.25
39,0.75,0.5,0.0,0.25
40,0.25,1.0,0.25,0.25
41,0.25,0.0,1.0,0.5
42,0.5,0.5,0.75,0.5
43,0.5,1.0,0.5,0.5
44,1.0,0.0,1.0,0.25
45,0.25,1.0,0.25,0.25
46,1.0,0.25,1.0,0.75
47,0.75,0.75,0.0,1.0
48,0.0,0.25,0.5,0.25
49,1.0,0.75,0.0,0.5
50,0.25,0.75,0.0,0.25
51,0.25,0.75,0.25,0.0
52,1.0,0.75,0.0,0.75
53,0.25,1.0,1.0,0.25
54,1.0,1.0,0.75,1.0
55,0.75,0.0,0.75,0.75
56,0.25,0.25,0.5,0.25
57,0.75,0.5,1.0,0.5
58,0.75,0.5,1.0,0.25
59,0.25,0.5,0.25,0.5
60,0.0,0.25,0.75,0.25
61,0.5,0.75,0.75,0.75
62,0.25,0.0,0.25,0.25
63,0.5,0.5,1.0,0.5
64,0.5,0.5,1.0,0.75
65,0.75,0.5,0.5,0.5
66,0.5,0.0,0.75,0.5
67,0.75,0.0,0.75,0.75
68,0.0,1.0,0.5,0.25
69,0.5,0.0,0.75,0.75
70,0.25,0.75,0.5,0.5
71,0.5,0.5,1.0,1.0
72,0.5,0.0,0.0,0.0
73,0.5,0.5,0.0,0.25
74,1.0,0.75,0.0,0.5
75,0.75,0.25,0.0,0.0
76,0.25,0.5,0.5,0.0
77,1.0,0.0,0.5,0.5
78,0.25,1.0,0.25,0.25
79,0.5,0.25,0.5,0.25
80,0.5,0.0,1.0,0.5
81,0.0,0.0,0.25,0.25
82,0.0,0.25,0.5,0.5
83,0.25,1.0,0.5,0.5
84,0.0,0.0,0.25,0.0
85,1.0,0.5,0.0,0.5
86,0.25,0.0,0.25,0.25
87,0.5,0.0,0.0,0.0
88,1.0,1.0,0.75,0.75
89,0.5,0.75,0.75,0.5
90,0.0,0.75,0.75,0.25
91,0.0,0.25,0.75,0.25
92,0.75,1.0,0.25,0.75
93,0.25,0.0,1.0,0.5
94,0.5,0.75,0.5,0.5
95,0.75,0.5,0.5,0.5
96,0.5,0.5,0.25,0.75
97,0.0,0.5,0.5,0.25
98,0.5,0.5,0.75,0.75
99,0.5,0.0,0.75,0.75
100,0.25,0.25,0.5,0.0
101,0.0,0.75,0.0,0.75
102,0.0,0.0,0.0,0.25
103,0.5,0.5,1.0,0.5
104,0.5,0.25,1.0,0.5
105,0.5,0.75,0.75,0.25
106,0.0,0.75,0.0,0.25
107,0.5,0.75,0.75,0.5
108,1.0,0.0,0.5,0.5
109,0.75,0.5,0.5,0.25
110,0.0,0.5,0.75,0.75
111,0.0,1.0,0.0,0.0
112,1.0,0.75,0.25,0.5
113,0.0,0.5,1.0,0.5
114,0.5,1.0,1.0,0.75
115,0.0,1.0,1.0,0.5
116,0.5,0.0,0.75,0.5
117,0.5,0.75,0.75,0.5
118,0.5,0.75,0.75,0.5
119,0.5,0.75,0.5,0.75
120,0.5,0.5,0.75,0.5
121,0.5,0.5,0.75,0.25
122,1.0,1.0,0.5,0.75
123,0.5,0.0,0.5,0.5
124,0.0,0.25,0.5,0.25
125,0.25,0.75,0.5,0.5
126,0.25,0.0,1.0,0.75
127,0.0,0.25,1.0,0.25
128,1.0,1.0,0.75,0.75
129,0.75,0.5,0.5,0.5
130,0.5,0.0,0.0,0.25
131,0.25,0.75,0.25,0.0
132,1.0,0.25,1.0,0.25
133,1.0,1.0,0.5,0.75
134,0.5,0.25,0.0,0.5
135,1.0,0.0,0.5,0.5
136,0.0,1.0,1.0,0.75
137,0.5,0.0,1.0,0.5
138,1.0,0.75,0.25,0.5
139,0.0,1.0,0.0,0.25
140,1.0,0.0,0.5,0.25
141,0.25,0.25,0.5,0.25
142,0.5,0.0,0.0,0.0
143,0.0,0.5,0.75,0.5
144,0.75,0.25,0.0,0.25
145,0.5,0.0,0.75,0.75
146,1.0,1.0,0.75,0.75
147,0.5,0.75,0.5,0.75
148,0.0,0.25,0.0,0.0
149,1.0,1.0,0.75,0.75
150,0.0,0.25,1.0,0.0
151,0.5,0.25,0.5,0.25
152,0.5,0.0,1.0,0.5
153,0.0,0.0,0.0,0.25
154,0.75,0.0,0.75,0.75
155,0.75,0.5,0.0,0.25
156,0.5,0.0,0.0,0.5
157,0.25,0.75,0.25,0.25
158,0.25,0.0,0.25,0.5
159,1.0,0.0,0.5,0.5
160,0.25,0.0,1.0,0.25
161,0.25,0.75,0.5,0.5
162,0.5,1.0,0.75,0.75
163,0.5,1.0,0.75,0.5
164,0.25,1.0,0.25,0.25
165,0.25,0.5,0.5,0.25
166,0.25,0.5,0.25,0.5
167,1.0,0.0,1.0,0.25
168,0.75,0.5,0.5,0.5
169,0.5,0.0,0.5,0.5
170,0.25,0.25,0.5,0.25
171,0.75,1.0,0.25,0.75
172,0.25,0.75,0.0,0.25
173,0.0,0.75,0.0,0.5
174,0.75,0.5,0.0,0.25
175,1.0,0.75,0.25,0.25
176,0.25,1.0,0.5,0.25
177,0.75,0.5,0.5,0.25
178,1.0,0.0,0.5,0.25
179,0.0,0.25,0.5,0.25
180,0.0,0.25,1.0,0.25
181,1.0,1.0,0.25,0.0
182,0.0,0.0,0.0,0.25
183,0.0,1.0,0.75,0.25
184,0.75,1.0,0.0,0.75
185,0.5,0.5,1.0,0.5
186,0.75,0.75,0.0,1.0
187,0.5,0.5,0.75,0.5
188,0.0,0.0,0.0,0.25
189,1.0,0.25,1.0,0.5
190,0.25,0.5,0.5,0.25
191,0.0,0.0,0.0,0.25
192,0.5,0.5,0.25,0.25
193,0.5,0.5,0.25,0.5
194,0.25,0.5,0.25,0.25
195,0.25,1.0,0.25,0.0
196,0.0,0.75,0.0,0.0
197,0.5,0.0,1.0,0.5
198,0.5,0.75,0.5,0.75
199,0.0,1.0,0.5,0.75
200,0.5,0.0,1.0,0.5
201,0.75,0.75,0.25,0.5
202,0.5,0.75,0.75,0.5
203,0.5,0.75,0.5,0.75
204,0.5,0.75,0.5,0.5
205,0.0,1.0,1.0,0.75
206,0.5,0.5,1.0,0.5
207,1.0,0.75,0.0,0.75
208,0.5,0.75,0.5,0.0
209,0.5,0.5,0.75,0.25
210,0.25,0.75,0.5,0.5
211,1.0,0.0,1.0,0.25
212,0.75,0.5,1.0,0.25
213,1.0,1.0,0.75,1.0
214,0.25,0.0,0.25,0.25
215,0.0,1.0,0.0,0.5
216,0.5,1.0,0.75,0.5
217,1.0,0.5,0.0,0.75
218,1.0,0.75,0.25,0.5
219,0.75,0.0,0.5,0.75
220,0.5,0.5,0.75,0.75
221,0.25,0.25,0.75,0.25
222,0.5,0.25,0.5,0.25
223,0.0,0.5,0.75,0.0
224,0.25,0.75,0.0,0.25
225,0.0,0.0,0.25,0.25
226,0.0,0.5,0.5,0.25
227,0.25,1.0,1.0,1.0
228,0.75,0.0,0.5,0.5
229,0.0,0.25,0.75,0.25
230,0.5,0.5,0.75,0.75
231,0.75,0.75,0.0,0.75
232,0.5,0.5,0.25,0.5
233,0.5,0.75,0.75,0.5
234,0.5,0.0,0.5,0.25
235,0.0,1.0,0.0,0.0
236,0.75,0.5,0.5,0.75
237,0.0,1.0,0.0,0.75
238,0.25,1.0,1.0,0.0
239,0.5,0.0,0.75,0.5
240,0.5,0.5,0.75,0.5
241,0.0,0.25,0.5,0.25
242,0.0,0.25,0.75,0.25
243,0.75,0.75,0.25,0.5
244,0.25,0.75,0.0,0.5
245,0.5,1.0,0.25,0.5
246,0.75,0.0,0.75,0.75
247,1.0,0.75,0.0,0.75
248,0.75,1.0,0.25,0.75
249,1.0,1.0,0.75,0.75
250,0.0,0.25,0.75,0.75
251,0.0,1.0,1.0,1.0
252,0.5,0.75,0.75,0.5
253,0.25,1.0,0.5,0.25
254,1.0,0.5,0.0,0.75
255,0.25,0.75,0.0,0.5
256,0.5,0.75,1.0,0.5
257,0.0,0.5,0.75,0.25
258,0.0,1.0,0.25,0.75
259,0.75,0.5,0.5,1.0
260,1.0,1.0,0.5,0.75
261,0.5,0.0,0.75,0.75
262,0.5,0.25,0.5,0.25
263,0.0,0.25,0.75,0.0
264,0.5,0.0,0.75,0.5
265,0.0,0.25,1.0,0.25
266,0.25,0.0,1.0,0.5
267,0.25,0.75,0.25,0.0
268,0.5,0.75,0.75,0.5
269,0.0,1.0,1.0,0.5
270,0.25,1.0,1.0,0.25
271,1.0,0.5,0.0,0.75
272,1.0,1.0,0.75,0.75
273,0.5,0.0,1.0,0.0
274,0.25,1.0,0.5,0.25
275,0.5,0.5,1.0,0.75
276,0.5,0.75,0.5,0.75
277,0.75,0.5,0.0,0.5
278,1.0,0.0,0.5,0.25
279,0.5,0.0,0.75,0.75
280,0.0,0.75,0.75,0.5
281,0.5,0.25,0.0,0.5
282,0.25,0.5,0.0,0.25
283,0.75,0.75,0.0,0.5
284,0.0,0.75,0.75,0.5
285,0.25,0.5,0.25,0.25
286,0.0,0.75,0.75,0.75
287,0.0,1.0,0.0,0.5
288,0.5,0.75,0.75,0.5
289,0.0,1.0,1.0,0.25
290,1.0,0.25,1.0,0.5
291,1.0,1.0,0.25,0.5
292,0.0,0.25,0.0,0.0
293,0.75,0.5,0.5,0.5
294,0.5,0.5,0.75,0.5
295,0.75,1.0,0.25,0.75
296,0.75,0.25,0.5,0.75
297,1.0,1.0,0.75,1.0
298,0.0,0.25,1.0,0.25
299,1.0,1.0,0.25,0.5
300,0.25,0.5,0.25,0.5
301,1.0,1.0,0.75,0.75
302,0.75,0.5,1.0,0.25
303,0.5,0.5,0.75,0.5
304,0.5,0.5,0.0,0.5
305,0.0,1.0,0.0,0.25
306,0.5,0.75,0.75,0.5
307,1.0,0.75,0.25,0.5
308,0.5,0.75,0.75,0.5
309,0.5,0.25,0.0,0.5
310,0.0,0.5,0.75,0.75
311,0.25,0.5,0.0,0.25
312,0.25,0.0,1.0,0.5
313,0.75,0.0,0.75,0.5
314,0.0,1.0,0.5,0.75
315,0.5,0.5,0.5,0.25
316,0.75,0.5,0.5,0.5
317,0.0,0.75,0.0,0.0
318,0.75,0.25,0.5,0.75
319,0.0,1.0,0.25,0.5
320,0.0,0.75,0.0,0.0
321,1.0,1.0,0.5,0.5
322,0.5,0.75,1.0,0.5
323,0.0,0.25,0.75,0.5
324,0.75,0.5,0.0,0.25
325,0.5,0.5,0.25,0.75
326,0.75,0.75,0.25,0.75
327,1.0,0.75,0.25,0.5
328,1.0,0.5,0.0,0.5
329,0.5,0.0,0.0,0.0
330,0.75,0.5,1.0,0.5
331,1.0,1.0,0.75,0.75
332,0.25,0.25,0.25,0.0
333,0.25,0.5,0.5,0.25
334,0.75,1.0,0.25,0.5
335,0.5,0.5,0.75,0.5
336,0.5,0.25,1.0,0.25
337,0.5,1.0,1.0,0.75
338,1.0,1.0,0.5,0.75
339,0.5,0.0,0.0,0.25
340,1.0,0.25,1.0,0.5
341,1.0,1.0,0.75,1.0
342,0.0,1.0,1.0,0.75
343,0.0,0.5,0.75,0.5
344,0.5,0.25,1.0,0.5
345,0.75,1.0,0.0,0.75
346,0.25,0.0,0.25,0.25
347,0.0,0.75,0.0,0.0
348,0.0,0.25,0.0,0.0
349,1.0,0.75,0.25,0.75
350,0.0,0.25,0.0,0.0
351,0.5,0.0,0.75,0.5
352,0.25,0.75,0.25,0.25
353,0.5,0.25,0.0,0.5
354,0.25,1.0,0.5,0.5
355,0.5,1.0,0.5,0.75
356,0.25,0.5,0.5,0.25
357,0.0,0.25,0.75,0.25
358,0.5,0.0,1.0,0.5
359,0.5,0.5,0.0,0.25
360,0.25,0.0,1.0,0.5
361,0.0,0.25,0.5,0.5
362,0.5,0.75,0.75,0.75
363,0.75,0.0,0.75,0.75
364,0.0,0.25,0.75,0.25
365,0.25,1.0,0.5,0.5
366,0.25,0.75,0.5,0.5
367,0.0,1.0,0.5,0.5
368,0.0,0.75,0.75,0.5
369,0.5,0.0,0.75,0.75
370,0.0,0.25,0.75,0.0
371,0.0,0.25,0.75,0.25
372,0.0,1.0,0.75,0.5
373,0.5,0.0,0.75,0.75
374,0.0,0.25,0.5,0.25
375,1.0,0.0,0.5,0.25
376,0.0,1.0,0.5,0.75
377,0.5,0.5,0.75,0.5
378,0.0,1.0,0.0,0.0
379,0.0,0.5,1.0,0.5
380,1.0,0.75,0.25,0.5
381,0.75,0.5,1.0,0.5
382,0.5,1.0,0.5,0.5
383,0.0,0.25,0.75,0.25
384,0.5,0.25,1.0,0.5
385,0.0,0.5,0.75,0.5
386,0.0,0.25,0.5,0.0
387,0.25,0.75,0.25,0.0
388,1.0,0.0,0.5,0.25
389,0.5,0.5,0.0,0.25
390,0.0,0.5,0.75,0.5
391,0.0,1.0,0.0,0.0
392,0.0,0.75,0.75,0.0
393,0.5,0.75,0.75,0.5
394,0.25,1.0,0.5,0.25
395,0.0,0.5,1.0,0.5
396,0.0,1.0,1.0,0.25
397,0.5,0.75,0.75,0.5
398,1.0,0.0,0.5,0.25
399,0.0,0.0,0.0,0.0
400,0.25,0.0,1.0,0.5
401,0.75,0.5,1.0,0.5
402,0.25,0.75,0.5,0.5
403,0.25,0.5,0.25,0.25
404,0.0,1.0,0.5,0.75
405,0.0,0.25,0.5,0.5
406,0.75,0.5,1.0,0.5
407,0.0,0.0,0.0,0.0
408,0.5,0.25,0.5,0.25
409,0.5,0.75,0.75,0.75
410,0.75,0.5,0.0,0.5
411,0.5,0.5,1.0,0.75
412,0.75,0.5,0.5,0.75
413,0.25,0.25,0.5,0.25
414,0.0,1.0,0.0,0.25
415,0.75,0.5,0.0,0.5
416,0.75,1.0,0.25,0.75
417,0.0,0.25,0.5,0.25
418,0.75,0.5,1.0,0.5
419,0.75,0.25,0.0,0.25
420,0.5,0.75,0.5,0.75
421,0.25,0.5,0.25,0.5
422,1.0,0.75,0.25,0.5
423,0.5,0.25,0.5,0.5
424,0.0,0.75,0.0,0.75
425,0.5,1.0,0.25,0.25
426,0.0,0.5,0.75,0.25
427,0.5,1.0,0.25,0.5
428,1.0,0.75,0.25,0.5
429,0.75,0.0,0.5,0.5
430,0.75,1.0,0.0,1.0
431,0.5,0.0,0.0,0.25
432,0.0,0.25,0.5,0.25
433,0.25,1.0,0.5,0.25
434,0.5,0.25,1.0,0.5
435,0.0,1.0,1.0,0.0
436,0.5,0.75,0.5,0.5
437,0.0,1.0,0.75,0.25
438,0.25,0.5,0.75,0.5
439,0.0,1.0,0.5,0.75
440,0.5,0.5,1.0,0.5
441,0.75,0.5,0.0,0.25
442,0.75,0.25,0.5,0.75
443,0.75,1.0,0.0,0.75
444,0.5,0.5,0.5,0.25
445,0.5,0.0,0.5,0.5
446,0.25,0.5,0.25,0.75
447,1.0,0.0,0.5,0.25
448,0.25,1.0,0.5,0.5
449,0.0,1.0,1.0,1.0
450,0.5,0.0,0.75,0.75
451,0.5,0.0,0.5,0.5
452,0.0,0.5,0.5,0.25
453,0.5,0.75,0.5,0.5
454,0.0,1.0,0.75,0.25
455,0.5,0.0,0.75,0.75
456,0.25,0.5,0.5,0.0
457,0.0,0.25,0.75,0.5
458,0.5,1.0,0.25,0.5
459,0.5,1.0,0.75,0.25
460,1.0,0.0,0.5,0.25
461,0.0,0.25,0.75,0.25
462,0.25,0.25,0.5,0.25
463,0.25,0.75,0.25,0.0
464,0.25,0.0,1.0,0.75
465,0.75,0.5,0.5,0.5
466,1.0,0.0,0.5,0.25
467,0.0,1.0,0.5,0.5
468,0.5,0.75,0.5,0.5
469,0.25,0.5,0.25,0.5
470,1.0,0.75,0.25,0.5
471,0.0,0.25,0.75,0.5
472,0.0,0.25,0.5,0.5
473,0.25,0.5,0.75,0.5
474,0.0,0.75,0.75,0.5
475,0.0,0.25,1.0,0.0
476,1.0,0.0,0.5,0.25
477,0.5,0.75,0.75,0.5
478,0.75,0.25,0.5,0.75
479,0.25,0.5,0.25,0.25
480,1.0,0.75,0.0,0.25
481,0.25,1.0,0.5,0.25
482,0.5,0.5,0.75,0.75
483,1.0,0.0,0.5,0.25
484,1.0,0.75,0.25,0.25
485,0.75,0.5,1.0,0.5
486,0.5,0.5,0.75,0.5
487,0.25,1.0,0.5,0.5
488,0.0,1.0,0.75,0.25
489,1.0,1.0,0.75,0.75
490,0.0,0.25,0.5,0.25
491,0.75,0.5,1.0,0.25
492,0.0,0.5,0.75,0.5
493,0.0,0.75,0.75,0.5
494,0.5,0.5,0.0,0.5
495,0.0,1.0,0.0,0.5
496,0.25,0.25,0.25,0.0
497,0.0,0.5,1.0,0.5
498,1.0,0.75,0.0,0.25
499,0.75,0.5,1.0,0.5
500,1.0,0.75,0.0,0.5
