,Alkalinity,pH,Calcium,Chlorophyll,Avg_Mercury,No.samples,min,max,age_data,3_yr_Standard_Mercury
0,0.03706624605678234,0.4545454545454546,0.021205357142857137,0.0,0.9224806201550386,0.024999999999999994,0.9204545454545455,0.6919191919191919,1.0,1.0
1,0.01813880126182965,0.2727272727272727,0.008928571428571426,0.016479894528675015,1.0,0.07500000000000001,1.0000000000000002,0.9292929292929293,0.0,0.865771812080537
2,0.9053627760252365,1.0,0.47991071428571425,0.8411338167435728,0.0,0.05000000000000002,0.0,0.0,0.0,0.0
3,0.3012618296529968,0.6000000000000001,0.17075892857142852,0.018457481872116016,0.31007751937984496,0.20000000000000004,0.10227272727272727,0.3939393939393939,0.0,0.2684563758389262
4,0.01025236593059937,0.18181818181818177,0.020089285714285712,0.007251153592617006,0.8992248062015502,0.20000000000000004,0.7386363636363636,0.7272727272727273,1.0,0.865771812080537
5,0.14511041009463724,0.6727272727272728,0.03794642857142857,0.2860909690177983,0.17829457364341084,0.25,0.0,0.21212121212121213,1.0,0.14093959731543626
6,0.03154574132492114,0.3272727272727274,0.01897321428571428,0.017798286090969014,0.3410852713178294,0.15,0.29545454545454547,0.33333333333333337,1.0,0.2751677852348993
7,0.5536277602523659,0.8181818181818181,0.6037946428571428,0.2175346077785102,0.11627906976744184,0.20000000000000004,0.04545454545454546,0.16161616161616163,1.0,0.08053691275167786
8,0.19873817034700314,0.3999999999999999,0.0904017857142857,0.005932762030323006,0.6124031007751938,0.5000000000000001,0.25,0.6767676767676768,1.0,0.4563758389261745
9,0.02839116719242902,0.5090909090909093,0.03906249999999999,0.14370468029004613,0.5968992248062015,0.20000000000000004,0.42045454545454547,0.7121212121212122,1.0,0.516778523489933
10,0.04258675078864353,0.3272727272727274,0.017857142857142856,0.09360580092287407,0.5193798449612403,0.20000000000000004,0.5454545454545455,0.4040404040404041,1.0,0.4496644295302013
11,0.12066246056782334,0.6545454545454545,0.1417410714285714,0.02175346077785102,0.3565891472868217,0.20000000000000004,0.06818181818181818,0.33838383838383834,1.0,0.31543624161073824
12,0.19085173501577285,0.6545454545454545,0.26897321428571425,0.07185234014502306,0.34883720930232553,0.07500000000000001,0.25,0.4797979797979799,1.0,0.33557046979865773
13,0.04652996845425867,0.3999999999999999,0.04575892857142857,0.033618984838497026,0.8682170542635657,0.975,0.5227272727272728,0.994949494949495,1.0,0.6442953020134229
14,0.9999999999999999,0.7272727272727273,0.9531249999999999,0.46407382992748836,0.007751937984496124,0.17500000000000002,0.0,0.025252525252525256,0.0,0.006711409395973152
15,0.6506309148264984,0.8363636363636362,0.7299107142857142,0.5135135135135134,0.08527131782945735,0.15,0.09090909090909091,0.06060606060606061,1.0,0.0738255033557047
16,0.8462145110410093,0.9272727272727272,0.38504464285714285,0.5234014502307184,0.11627906976744184,0.9,0.034090909090909095,0.18686868686868688,1.0,0.10067114093959732
17,0.47397476340694,0.7636363636363637,0.6283482142857142,0.08701384311140409,0.565891472868217,0.05000000000000002,0.31818181818181823,0.7272727272727273,1.0,0.30201342281879195
18,0.04100946372239748,0.3999999999999999,0.032366071428571425,0.02570863546473302,0.8062015503875968,0.15,0.681818181818182,0.6414141414141415,1.0,0.6577181208053692
19,0.23501577287066244,0.5636363636363637,0.15513392857142855,0.1074489123269611,0.7286821705426356,0.05000000000000002,0.715909090909091,0.696969696969697,1.0,0.44295302013422816
20,0.049684542586750785,0.1454545454545455,0.010044642857142854,0.05866842452208305,0.4573643410852713,0.20000000000000004,0.3295454545454546,0.43939393939393945,1.0,0.2751677852348993
21,0.12697160883280756,0.5636363636363637,0.10714285714285712,0.05800922874093605,0.40310077519379844,0.20000000000000004,0.375,0.4444444444444444,1.0,0.36912751677852346
22,0.08990536277602523,0.4545454545454546,0.029017857142857144,0.1338167435728411,0.28682170542635654,0.20000000000000004,0.23863636363636365,0.2777777777777778,0.0,0.24832214765100669
23,0.04574132492113565,0.6000000000000001,0.058035714285714274,0.20698747528015818,0.5348837209302324,0.20000000000000004,0.3295454545454546,1.0000000000000002,1.0,0.516778523489933
24,0.07334384858044164,0.34545454545454546,0.058035714285714274,0.005932762030323006,0.23255813953488375,0.15,0.23863636363636365,0.2828282828282829,1.0,0.25503355704697983
25,0.22712933753943215,0.6000000000000001,0.14285714285714282,0.13711272247857612,0.42635658914728675,0.8,0.21590909090909094,0.5353535353535355,1.0,0.3288590604026846
26,0.42744479495268134,0.6727272727272728,0.1651785714285714,0.15820698747528011,0.23255813953488375,0.15,0.14772727272727273,0.23232323232323235,1.0,0.18120805369127518
27,0.021293375394321766,0.1636363636363637,0.024553571428571425,0.041529334212261036,0.6201550387596899,0.1,0.6250000000000001,0.6666666666666666,1.0,0.5570469798657719
28,0.03391167192429022,0.21818181818181814,0.00669642857142857,0.09294660514172709,0.3565891472868217,0.17500000000000002,0.3068181818181818,0.3939393939393939,0.0,0.3087248322147651
29,0.04022082018927445,0.3999999999999999,0.024553571428571425,0.0,0.23255813953488375,0.15,0.17045454545454547,0.3181818181818181,1.0,0.2885906040268456
30,0.5189274447949526,0.7636363636363637,0.6417410714285714,0.28411338167435723,0.18604651162790697,0.15,0.13636363636363638,0.2676767676767676,1.0,0.14093959731543626
31,0.21766561514195584,0.6909090909090909,0.10156249999999997,0.21094264996704018,0.23255813953488375,0.15,0.13636363636363638,0.297979797979798,1.0,0.24832214765100669
32,0.0362776025236593,0.0,0.005580357142857142,0.016479894528675015,0.6434108527131783,0.20000000000000004,0.3068181818181818,0.9292929292929293,0.0,0.5570469798657719
33,0.02602523659305994,0.1454545454545455,0.0,0.016479894528675015,0.40310077519379844,0.225,0.23863636363636365,0.484848484848485,0.0,0.3489932885906041
34,0.9298107255520504,0.781818181818182,0.4162946428571428,0.1015161502966381,0.10077519379844962,0.20000000000000004,0.034090909090909095,0.12121212121212122,1.0,0.08053691275167786
35,0.19085173501577285,0.6363636363636362,0.0859375,0.2933421226104153,0.10852713178294571,0.225,0.056818181818181816,0.11616161616161616,1.0,0.08053691275167786
36,0.8304416403785488,0.5818181818181818,0.9999999999999999,0.10415293342122608,0.11627906976744184,0.225,0.01136363636363636,0.15656565656565657,1.0,0.12751677852348997
37,0.40851735015772866,0.8727272727272728,0.4966517857142857,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
38,0.057570977917981075,0.6181818181818182,0.015624999999999998,0.07976268951878707,0.34883720930232553,0.20000000000000004,0.3068181818181818,0.28787878787878796,1.0,0.3489932885906041
39,0.6813880126182964,0.7090909090909092,0.9419642857142856,0.12788398154251812,0.821705426356589,0.15,0.8522727272727274,0.6818181818181819,1.0,0.5704697986577182
40,0.8895899053627759,0.6181818181818182,0.7979910714285713,0.037574159525379035,0.09302325581395349,0.25,0.0,0.10101010101010102,1.0,0.09395973154362416
41,0.7594637223974763,0.5818181818181818,0.4955357142857142,0.03625576796308503,0.046511627906976744,0.20000000000000004,0.01136363636363636,0.10101010101010102,1.0,0.10067114093959732
42,0.08359621451104102,0.4181818181818182,0.25781249999999994,0.005932762030323006,0.3410852713178294,0.15,0.2613636363636364,0.5000000000000001,1.0,0.2684563758389262
43,0.5149842271293374,0.8545454545454547,0.2779017857142857,0.44495715227422544,0.1317829457364341,0.20000000000000004,0.01136363636363636,0.21212121212121213,1.0,0.08053691275167786
44,0.1167192429022082,0.5636363636363637,0.44754464285714285,0.15425181278839814,0.6356589147286822,0.20000000000000004,0.36363636363636365,0.6767676767676768,1.0,0.4228187919463088
45,0.02996845425867508,0.4727272727272729,0.25111607142857145,0.05866842452208305,0.37209302325581395,0.20000000000000004,0.3068181818181818,0.4494949494949495,1.0,0.3422818791946309
46,0.19242902208201892,0.4727272727272729,0.12834821428571425,0.17798286090969015,0.4728682170542636,1.0,0.29545454545454547,0.5252525252525254,1.0,0.3624161073825503
47,0.6332807570977917,0.9636363636363638,0.2165178571428571,0.05866842452208305,0.17829457364341084,0.05000000000000002,0.0,0.17171717171717174,0.0,0.15436241610738255
48,0.0,0.12727272727272732,0.011160714285714282,0.037574159525379035,0.6976744186046511,0.15,0.6250000000000001,0.595959595959596,1.0,0.6308724832214766
49,0.2586750788643533,0.6181818181818182,0.1339285714285714,0.02570863546473302,0.27906976744186046,0.20000000000000004,0.04545454545454546,0.4242424242424243,1.0,0.18120805369127518
50,0.11277602523659305,0.6000000000000001,0.04575892857142857,0.10415293342122608,0.3023255813953488,0.17500000000000002,0.21590909090909094,0.3181818181818181,1.0,0.26174496644295303
51,0.12697160883280756,0.290909090909091,0.021205357142857137,0.01252471984179301,0.1627906976744186,0.20000000000000004,0.125,0.17171717171717174,1.0,0.16107382550335575
52,0.5567823343848579,0.781818181818182,0.2165178571428571,0.05339485827290705,0.17829457364341084,0.20000000000000004,0.125,0.22727272727272732,1.0,0.14093959731543626
